epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,1.7500912450227637,1.7500912450227637,0.8539864250290942,0.896104822731692,0.0,1.0,1.0,0.0,0.7385159010600707,0.9858657243816255,0.0,0.9781751839651002,0.9781751839651002,0.3324810763200124,0.6456941076450877,0.0,1.923262985234234e-08,0.0,0.0,0.9999999999998043,0.499999999952381,0.0,0.999999999904762,0.3041269841269841,0.56982010670562,285,0.49999999999758804,0.0,0.9999999999951761,0.48451519536903037,0.059249884216726,2183,composite,0,0,0,10.0,1,1,0
2,1.7070691341224913,1.7070691341224913,0.8429711821222474,0.8640979544223408,0.0,1.0,1.0,0.0,0.7879858657243817,0.9893992932862191,0.0,0.9525501330693563,0.9525501330693563,0.31561973442633945,0.6369303986430168,0.0,0.004885373480283193,0.007940340718574124,0.004132800109378481,0.9999822416553429,0.5472222221746252,0.22777777776512345,0.866666666584127,0.517989417989418,0.6690679463013891,285,0.49999999999758804,0.0,0.9999999999951761,0.45421655045388765,0.04927214779071307,2183,composite,0,0,0,10.0,1,1,0
3,1.6535666018408517,1.6535666018408517,0.7875285293946418,0.8660380711825071,0.0,1.0,1.0,0.0,0.7667844522968198,0.9893992932862191,0.0,0.9514856114983559,0.9514856114983559,0.31173945632245803,0.6397461551758978,0.0,0.07831195504948664,0.10719774778947534,0.08077732091888913,0.9977233267139334,0.6428571428051777,0.46666666664074075,0.8190476189696145,0.7101058201058201,0.803751763250147,285,0.4997588036637735,0.0,0.999517607327547,0.5778844888830417,0.07161783638648969,2183,composite,0,0,0,10.0,1,1,0
4,1.6344992514212646,1.6344992514212646,0.7719195495645907,0.8625797033309937,0.0,1.0,1.0,0.0,0.7667844522968198,0.9752650176678446,0.0,0.9262062451905675,0.9262062451905675,0.2985537168052461,0.6276525279714001,0.0,0.15173622220754623,0.199023015286937,0.20076438372493932,0.9929073638924293,0.6464285713818878,0.7499999999583333,0.5428571428054422,0.7153968253968255,0.8284542871211222,285,0.4990352146623298,0.0,0.9980704293246596,0.6019997368767267,0.07545115451163847,2183,composite,0,0,0,10.0,1,1,0
5,1.6060199114122156,1.6060199114122156,0.7371240081298478,0.8688959057044646,0.0,1.0,1.0,0.0,0.7526501766784452,0.9893992932862191,0.0,0.9196619697742991,0.9196619697742991,0.29493457327286404,0.6247273956735929,0.0,0.2030223724855618,0.22716568600792308,0.42081125099172284,0.976300195387535,0.5424603174264014,0.894444444394753,0.1904761904580499,0.7583068783068784,0.8646081880410155,285,0.5134872604429706,0.06363636363057852,0.9633381572553626,0.5832258913300881,0.07308605282320264,2183,composite,0,0,0,10.0,1,1,0
6,1.6058483189070605,1.6058483189070605,0.7526334808487775,0.8532148359521118,0.0,1.0,1.0,0.0,0.7773851590106007,0.9717314487632509,0.0,0.9117334129081832,0.9117334129081832,0.2878696736362245,0.6238637384441164,0.0,0.19690419123931366,0.23377391623019753,0.33554835946549844,0.9845945103910997,0.5900793650395912,0.8277777777317901,0.3523809523473923,0.7502116402116402,0.8690145548776194,285,0.5133578915014622,0.03636363636033058,0.9903521466425936,0.6013989387361313,0.08015696575586406,2183,composite,0,0,0,10.0,1,1,0
7,1.5865587465754667,1.5865587465754667,0.7147095584616644,0.8718491892721965,0.0,1.0,1.0,0.0,0.7597173144876325,0.9823321554770318,0.0,0.9013235279255443,0.9013235279255443,0.2796373723281754,0.6216861564252112,0.0,0.22016345167701895,0.2546623950143797,0.38726258033626704,0.98331977316879,0.5884920634533226,0.8722222221737654,0.30476190473287984,0.7722222222222221,0.8782810944202611,285,0.5108713765684457,0.05454545454049587,0.9671972985963956,0.5662982940841118,0.07345607311461021,2183,composite,0,0,0,10.0,1,1,0
8,1.5685812967826116,1.5685812967826116,0.7097548313781146,0.8588264671947425,0.0,1.0,1.0,0.0,0.7773851590106007,0.9787985865724381,0.0,0.8914780583646562,0.8914780583646562,0.2714792432056533,0.6199988151590029,0.0,0.23817135495218364,0.2744057053106264,0.41680003299937185,0.9839091418659198,0.6246031745611048,0.8777777777290123,0.3714285713931973,0.773809523809524,0.8812667147174729,285,0.51634434065131,0.07272727272066117,0.9599614085819588,0.5879533394728764,0.08145697621065816,2183,composite,0,0,0,10.0,1,1,0
9,1.5380021229438985,1.5380021229438985,0.6803690171915735,0.8576331022771424,0.0,1.0,1.0,0.0,0.7667844522968198,0.9893992932862191,0.0,0.8869627167781194,0.8869627167781194,0.2657448823253314,0.621217834452788,0.0,0.25673794881864026,0.28920662506091804,0.41667180472976056,0.9861492263563012,0.6186507936082987,0.8277777777317901,0.40952380948480727,0.7534920634920635,0.8721986859108951,285,0.5161404201149308,0.06363636363057852,0.968644476599283,0.5756347848967241,0.07838832009723484,2183,composite,0,0,0,10.0,1,1,0
10,1.545381662702392,1.545381662702392,0.6777917747994615,0.8675898882188561,0.0,1.0,1.0,0.0,0.7667844522968198,0.9858657243816255,0.0,0.8819083844621977,0.8819083844621977,0.2645168900489807,0.6173914935853746,0.0,0.25598696212876926,0.28967625255036755,0.4681217094172506,0.9828177590111942,0.6686507936015527,0.7277777777373456,0.6095238094657597,0.7553968253968254,0.8741203531195152,285,0.5138402841690912,0.03636363636033058,0.9913169319778519,0.5765272113318423,0.07102738482925289,2183,composite,0,0,0,10.0,1,1,0
