epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,0.792724034,0.792724034,1.071581371,0,0,1,0,0,0.738515901,0,0,283,1131,348,0,0,0,0,0.309868268,0.309868268,1.004575176,0,0,0.164304112,0.202821647,0.23131532,0.989718202,0.694047619,0.816666667,0.571428571,0.745238095,0.823670108,285,0.5,0,1,0.528747815,0.080131763,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
2,0.769342967,0.769342967,0.979029542,0,0,1,0,0,0.787985866,0,0,283,1131,348,0,0,0,0,0.290153211,0.290153211,0.941024847,0,0,0.232898342,0.259202924,0.500780858,0.975438423,0.523809524,1,0.047619048,0.597460317,0.723236098,285,0.530982299,0.436363636,0.625600962,0.533320586,0.089543217,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
3,0.710753248,0.710753248,0.929756341,0,0,1,0,0,0.766784452,0,0,283,1131,348,0,0,0,0,0.287170954,0.287170954,0.930989938,0,0,0.223912218,0.244398726,0.607876469,0.965369116,0.5,1,0,0.668835979,0.751950776,285,0.528698645,0.536363636,0.521033654,0.528144122,0.098328382,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
4,0.68734032,0.68734032,0.898324175,0,0,1,0,0,0.766784452,0,0,283,1131,348,0,0,0,0,0.273429852,0.273429852,0.885844964,0,0,0.249082304,0.278953577,0.413600824,0.985650603,0.496428571,0.983333333,0.00952381,0.70957672,0.821528854,285,0.479512675,0.272727273,0.686298077,0.474994537,0.078732923,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
5,0.656547768,0.656547768,0.873870525,0,0,1,0,0,0.752650177,0,0,283,1131,348,0,0,0,0,0.268775011,0.268775011,0.872530115,0,0,0.25353693,0.291917295,0.400316481,0.986889616,0.494444444,0.988888889,0,0.648201058,0.72341655,285,0.518132649,0.381818182,0.654447115,0.532419143,0.076420991,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
6,0.671203483,0.671203483,0.855825393,0,0,1,0,0,0.777385159,0,0,283,1131,348,0,0,0,0,0.259519968,0.259519968,0.841767515,0,0,0.280314073,0.315185618,0.482874678,0.984413488,0.5,1,0,0.628148148,0.74169172,285,0.532451923,0.5,0.564903846,0.557632212,0.078466775,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
7,0.634774189,0.634774189,0.837022507,0,0,1,0,0,0.759717314,0,0,283,1131,348,0,0,0,0,0.252936239,0.252936239,0.819488886,0,0,0.295769335,0.330635991,0.370032413,0.992234076,0.511507936,0.994444444,0.028571429,0.658994709,0.737414476,285,0.534320367,0.372727273,0.695913462,0.552879152,0.079925707,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
8,0.642962688,0.642962688,0.829994046,0,0,1,0,0,0.777385159,0,0,283,1131,348,0,0,0,0,0.25333871,0.25333871,0.820659507,0,0,0.289090655,0.336025014,0.405718805,0.990492205,0.501984127,0.994444444,0.00952381,0.714708995,0.806230531,285,0.557424607,0.436363636,0.678485577,0.561358173,0.081898597,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
9,0.628093514,0.628093514,0.826758292,0,0,1,0,0,0.766784452,0,0,283,1131,348,0,0,0,0,0.24986596,0.24986596,0.81025619,0,0,0.302591618,0.340836651,0.427023949,0.989533234,0.505952381,0.983333333,0.028571429,0.543677249,0.668481775,285,0.563286713,0.472727273,0.653846154,0.545989948,0.071846949,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
10,0.624254716,0.624254716,0.818626088,0,0,1,0,0,0.766784452,0,0,283,1131,348,0,0,0,0,0.248532012,0.248532012,0.806658074,0,0,0.304130119,0.344243163,0.482668301,0.987098604,0.517460317,0.977777778,0.057142857,0.564814815,0.673143054,285,0.539051573,0.354545455,0.723557692,0.551540647,0.074129364,1774,72,285,87,0,0,0,0,composite,0,0,1,1,1,0,0
