epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,1.7212061604004445,1.7212061604004445,0.8597555383776607,0.8614506178104414,0.0,1.0,1.0,0.0,0.7385159010600707,0.9858657243816255,0.0,0.9652941789891984,0.9652941789891984,0.33679667943053776,0.6284974987308184,0.0,1.923262985234234e-08,0.0,0.0,0.9999999999998043,0.499999999952381,0.0,0.999999999904762,0.3049206349206349,0.5722816998659851,285,0.49999999999758804,0.0,0.9999999999951761,0.49351839670218833,0.059820043589113914,2183,composite,0,0,0,10.0,1,1,0
2,1.6814239216777545,1.6814239216777545,0.854196153133581,0.8272277683335564,0.0,1.0,1.0,0.0,0.7879858657243817,0.9893992932862191,0.0,0.9370270296931267,0.9370270296931267,0.31980769750144744,0.6172193313638369,0.0,0.0026647478253175494,0.00547194248554888,0.002827417163948803,0.9999831892348482,0.5361111110641315,0.2055555555441358,0.866666666584127,0.4978835978835979,0.6631141334435022,285,0.49999999999758804,0.0,0.9999999999951761,0.45827741963776697,0.050224212356871537,2183,composite,0,0,0,10.0,1,1,0
3,1.6262237145285725,1.6262237145285725,0.7996437675961336,0.82657994903861,0.0,1.0,1.0,0.0,0.7667844522968198,0.9893992932862191,0.0,0.9343684526781241,0.9343684526781241,0.31261415779590607,0.621754294882218,0.0,0.033207881258741606,0.04587237724139354,0.026166502807817668,0.9996759003995211,0.5694444443942901,0.2055555555441358,0.9333333332444445,0.6826455026455026,0.7874615776667757,285,0.49999999999758804,0.0,0.9999999999951761,0.5722755777748542,0.07128886877027599,2183,composite,0,0,0,10.0,1,1,0
