epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,0.8356820581459601,0.8362277604907725,1.070207972122335,0.0,0.0,0.9783037087373566,0.0,0.0,0.7824561403508772,0.0,0.0,285,1139,348,0,0,0,0,0.3098349772001568,0.3097627179664478,1.0040306106381032,0.0,0.0,0.1679932393810966,0.20715915757880773,0.25834638922615794,0.9881799260289817,0.6948412697901959,0.7611111110688271,0.6285714285115647,0.7538624338624338,0.8422738034736661,285,0.506463068177231,0.03636363636033058,0.9765624999941313,0.5122268356643357,0.07794586108837216,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
2,0.7314436635602661,0.7313427045954436,0.9708232893340889,0.0,0.0,0.9917950130345529,0.0,0.0,0.7543859649122807,0.0,0.0,285,1139,348,0,0,0,0,0.2922191770453202,0.29244710855316697,0.9481647473642196,0.0,0.0,0.21300512975589794,0.2408786198400614,0.4052346330052882,0.9801724441345687,0.527777777747134,0.9888888888339505,0.06666666666031747,0.6356613756613757,0.7276363878799834,285,0.5228256118699196,0.35454545451322317,0.691105769226616,0.5145323426573427,0.08254052684831314,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
3,0.7295899128474301,0.7307976056757048,0.9369404833207186,0.0,0.0,1.032010403432344,0.0,0.0,0.7789473684210526,0.0,0.0,285,1139,348,0,0,0,0,0.281574168958162,0.2825246626870674,0.9165243883242552,0.0,0.0,0.22867234525355426,0.2602853419698086,0.3957680217467728,0.9838479485720658,0.580158730121775,0.9222222221709876,0.23809523807256236,0.7163492063492064,0.784272350220548,285,0.5467438811047901,0.2545454545223141,0.8389423076872661,0.5170236013986014,0.07980846402666487,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
4,0.6933728373814718,0.6975889505264108,0.9020074903964996,0.0,0.0,1.0744976403420432,0.0,0.0,0.7824561403508772,0.0,0.0,285,1139,348,0,0,0,0,0.27055785697803164,0.27266745567321776,0.8846277978228426,0.0,0.0,0.2477081956511194,0.27640831916933023,0.3582964744114152,0.9879854791706574,0.5317460317147896,0.9777777777234568,0.08571428570612245,0.6634920634920636,0.7458325167773261,285,0.5413789335489017,0.3363636363330579,0.7463942307647453,0.5220771416083917,0.08047174799075954,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
5,0.6475465718437644,0.6532444121860641,0.8810195015079674,0.0,0.0,1.1070767549046299,0.0,0.0,0.743859649122807,0.0,0.0,285,1139,348,0,0,0,0,0.2647365227080228,0.26761865532189083,0.8666383096541481,0.0,0.0,0.2595356770537116,0.2893474274942695,0.29062005892940007,0.9938530978275267,0.5035714285423186,0.9499999999472222,0.05714285713741497,0.6967195767195768,0.8029239896868771,285,0.4988909527841711,0.23636363634214877,0.7614182692261935,0.5061298076923078,0.07529827601962744,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
6,0.6550532262298074,0.6619667855138,0.866013764735611,0.0,0.0,1.1310244978519908,0.0,0.0,0.7614035087719299,0.0,0.0,285,1139,348,0,0,0,0,0.25820015522471645,0.26193045314989594,0.8495675667949106,0.0,0.0,0.2701446556232192,0.2972514416339822,0.4871306502072547,0.9820502188568979,0.4972222221945987,0.9944444443891974,0.0,0.5731481481481482,0.6828822289615473,285,0.5050644667624299,0.4181818181438017,0.591947115381058,0.5122268356643357,0.07032572320304437,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
7,0.6451777678189098,0.6557489183516331,0.8389081983216877,0.0,0.0,1.146400473410623,0.0,0.0,0.7789473684210526,0.0,0.0,285,1139,348,0,0,0,0,0.25361325364363824,0.2581709995604398,0.8361956346994159,0.0,0.0,0.27870095013217494,0.3190692431479761,0.38871593173210994,0.9902133851780236,0.5456349205989386,0.8055555555108024,0.28571428568707485,0.7050264550264551,0.8085710128677579,285,0.5285620629246248,0.21818181816198348,0.8389423076872661,0.5091619318181818,0.07196285015319327,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
8,0.6295110994624505,0.6406609018294825,0.8332988063151809,0.0,0.0,1.1703960611109148,0.0,0.0,0.7649122807017544,0.0,0.0,285,1139,348,0,0,0,0,0.2487518067945514,0.2541171467095091,0.8243351736287962,0.0,0.0,0.28864943744106725,0.33184864851438245,0.3620763786318904,0.9923002326889826,0.5031746031460821,0.9777777777234568,0.028571428568707483,0.6686772486772486,0.7486261292796217,285,0.5249672202611292,0.3636363636033058,0.6862980769189526,0.5377021416083916,0.06977111534571447,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
9,0.6583479001293903,0.6727998391696505,0.8246193280679056,0.0,0.0,1.1892146997284472,0.0,0.0,0.8175438596491228,0.0,0.0,285,1139,348,0,0,0,0,0.24484876582497045,0.25094040151227986,0.8136237256828396,0.0,0.0,0.3013985864818096,0.3388001653414962,0.43055636980907086,0.9892722108794326,0.49880952378086735,0.9499999999472222,0.04761904761451247,0.7156613756613758,0.8236154588982215,285,0.5307856206126741,0.3181818181528926,0.7433894230724556,0.5325120192307692,0.07293851553647768,1774,72,285,87,0,0,0,0,composite,1,1,1,5.0,1,0,0
10,1.724386092285193,1.718223898216127,0.984593441260272,0.9657023525974012,0.0,1.1465787088661863,1.000397961808924,0.0,0.7719298245614035,0.9859649122807017,0.0,285,1139,348,783,772522,0,0,0.9101229508717855,0.9126370245950264,0.8886714858570318,0.906405976913264,0.0,0.24271433123133399,0.29101913288283465,0.32481569993573084,0.9914636572614927,0.6746031745530361,0.711111111071605,0.6380952380344671,0.7730687830687831,0.8807253802114516,285,0.5188592657288322,0.05454545454049587,0.9831730769171685,0.5488745629370629,0.09729464896837536,1774,72,285,87,193,177463,0,0,composite,1,1,1,5.0,1,1,0
11,1.5393912277271917,1.5495497415314858,0.860252096050087,0.8772191411511235,0.0,1.122069265549643,1.0182936450891327,0.0,0.7719298245614035,0.9789473684210527,0.0,285,1139,348,781,772522,0,0,0.883996936312893,0.890279379643892,0.8329559852337015,0.901532958101642,0.0,0.28246110474521463,0.3187956724336832,0.4225634348783439,0.9880496170157411,0.7015873015341523,0.6888888888506173,0.7142857142176872,0.7872486772486772,0.8872599042285295,285,0.5252458478958542,0.07272727272066117,0.9777644230710472,0.5804851398601399,0.12610037621625758,1774,72,285,87,193,177463,0,0,composite,1,1,1,5.0,1,1,0
12,1.5359831019594965,1.5493443515658694,0.840645324909824,0.8802941046119195,0.0,1.1553746315470912,1.035528966836762,0.0,0.7789473684210526,0.9859649122807017,0.0,285,1139,348,780,772522,0,0,0.8705594092084651,0.8789932604421649,0.8140086346659167,0.8934175060986418,0.0,0.30671491812575946,0.347703497953367,0.38933994416430906,0.9923468460373822,0.7190476189897204,0.5333333333037037,0.904761904675737,0.7679365079365079,0.8797750406465239,285,0.5206621503442059,0.05454545454049587,0.986778846147916,0.6005080856643356,0.1045144795808588,1774,72,285,87,193,177463,0,0,composite,1,1,1,5.0,1,1,0
13,1.4690884989118032,1.4862817552028988,0.8366151369851211,0.8591376225286493,0.0,1.1735829462084855,1.0556401880163895,0.0,0.7543859649122807,0.9824561403508771,0.0,285,1139,348,781,772522,0,0,0.8718483328819275,0.881328893126103,0.8123249473242924,0.8976726712711156,0.0,0.30059110440991144,0.34522237204758444,0.4236141369103221,0.9906804020393994,0.7103174602606135,0.5444444444141975,0.8761904761070295,0.7658201058201058,0.878026095523904,285,0.5137128496453329,0.045454545450413227,0.9819711538402527,0.5853966346153846,0.11700619291914252,1774,72,285,87,193,177463,0,0,composite,1,1,1,5.0,1,1,0
14,1.479572274373015,1.4998283848833682,0.8158173842848032,0.8570109160048639,0.0,1.193070622076068,1.0754404009434215,0.0,0.7614035087719299,0.9929824561403509,0.0,285,1139,348,782,772522,0,0,0.8718561718338415,0.8809686073085718,0.8432336538687519,0.8821638319286693,0.0,0.2811479670080272,0.30888199674559025,0.5702596348188977,0.9783119989092207,0.6496031745583931,0.8611111110632715,0.43809523805351475,0.7794708994708993,0.8836603433312225,285,0.5214543269156983,0.0999999999909091,0.9429086538404874,0.6301682692307692,0.1228481057368245,1774,72,285,87,193,177463,0,0,composite,1,1,1,5.0,1,1,0
15,1.4459668925920006,1.4677107973617876,0.8181106704233707,0.8603059609793509,0.0,1.2030193977188646,1.0945592721303303,0.0,0.7543859649122807,0.9789473684210527,0.0,285,1139,348,783,772522,0,0,0.8558788462689049,0.8675948762057121,0.8152671901659033,0.8766431678681116,0.0,0.3090106187896295,0.34351706353956096,0.5260084911281075,0.9853067382742562,0.7043650793104529,0.6277777777429012,0.7809523808780046,0.7804761904761905,0.8839904855832295,285,0.5179195804145384,0.045454545450413227,0.9903846153786636,0.638756555944056,0.1263662605229646,1774,72,285,87,193,177463,0,0,composite,1,1,1,5.0,1,1,0
16,1.4218215234872016,1.4497520976991796,0.8034659568434475,0.8488048967633366,0.0,1.216674281839739,1.1113000572773448,0.0,0.7578947368421053,0.9824561403508771,0.0,285,1139,348,781,772522,0,0,0.8509120951619065,0.8637491993736802,0.8055961488307207,0.8750240941993427,0.0,0.31185184148224915,0.34742034465101984,0.5664351443779322,0.9836137845552666,0.6968253967740237,0.7555555555135802,0.6380952380344671,0.7906878306878308,0.8889997911402803,285,0.5167559003442295,0.05454545454049587,0.978966346147963,0.6496885926573427,0.12152809198199292,1774,72,285,87,193,177463,0,0,composite,1,1,1,5.0,1,1,0
17,1.4581929844026507,1.4859322221578475,0.8015196461273336,0.8469176788653127,0.0,1.2340317972919397,1.1252329571205273,0.0,0.7894736842105263,0.9894736842105263,0.0,285,1139,348,782,772522,0,0,0.8510942015731544,0.8641479314419261,0.8026553378708061,0.8752942406704572,0.0,0.30442374538291583,0.3496560701866029,0.37067169570869507,0.9930869693726497,0.6698412697929075,0.7777777777345679,0.5619047618512472,0.7917460317460318,0.8893795191823026,285,0.52558457167169,0.08181818181074381,0.9693509615326362,0.6345826048951049,0.11254199067761092,1774,72,285,87,193,177463,0,0,composite,1,1,1,5.0,1,1,0
